,Audio,RT_VS,Sound_Onset,RT_TO,Acc_VS,Acc_DT,Load,Trial_Type,Sound_Hz
45,Critical,NaN,0.477,0.7140000000000001,999,1,low,No Target,tone3
46,Normal,NaN,None,NaN,999,999,low,No Target,None
47,Normal,NaN,None,NaN,999,999,low,No Target,None
48,Normal,NaN,None,NaN,999,999,low,No Target,None
49,Normal,NaN,None,0.945,666,666,low,No Target,None
50,Critical,NaN,0.363,0.637,999,1,low,No Target,tone2
51,Normal,NaN,None,NaN,999,999,low,No Target,None
52,Normal,NaN,None,NaN,999,999,low,No Target,None
53,Normal,1.697,None,NaN,1,999,low,Target Present,None
54,Normal,NaN,None,NaN,999,999,low,No Target,None
55,Normal,NaN,None,NaN,999,999,low,No Target,None
56,Normal,NaN,None,NaN,999,999,low,No Target,None
57,Normal,NaN,None,NaN,999,999,low,No Target,None
58,Normal,NaN,None,NaN,999,999,low,No Target,None
59,Normal,NaN,None,NaN,999,999,low,No Target,None
60,Normal,NaN,None,NaN,999,999,high,No Target,None
61,Normal,NaN,None,NaN,999,999,high,No Target,None
62,Normal,NaN,None,NaN,999,999,high,No Target,None
63,Critical,NaN,0.563,0.5800000000000001,999,1,high,No Target,tone1
64,Normal,NaN,None,NaN,999,999,high,No Target,None
65,Normal,NaN,None,NaN,999,999,high,No Target,None
66,Critical,NaN,0.313,0.6100000000000001,999,1,high,No Target,tone3
67,Normal,NaN,None,NaN,999,999,high,No Target,None
68,Normal,NaN,None,NaN,999,999,high,No Target,None
69,Normal,NaN,None,NaN,999,999,high,No Target,None
70,Normal,1.6429999999999998,None,NaN,0,999,high,Target Present,None
71,Normal,NaN,None,NaN,999,999,high,No Target,None
72,Normal,NaN,None,NaN,999,999,high,No Target,None
73,Critical,NaN,0.76,0.4909999999999999,999,1,high,No Target,tone4
74,Normal,NaN,None,NaN,999,999,high,No Target,None
75,Normal,NaN,None,NaN,999,999,high,No Target,None
76,Critical,NaN,0.155,0.5399999999999999,999,1,high,No Target,tone2
77,Normal,NaN,None,NaN,999,999,high,No Target,None
78,Normal,NaN,None,NaN,999,999,high,No Target,None
79,Normal,NaN,None,NaN,999,999,high,No Target,None
80,Normal,NaN,None,NaN,999,999,high,No Target,None
81,Critical,1.3308125,0.928,0.5019999999999999,999,999,high,Target Absent,tone2
82,Normal,NaN,None,NaN,999,999,high,No Target,None
83,Normal,NaN,None,NaN,999,999,high,No Target,None
84,Normal,NaN,None,NaN,999,999,high,No Target,None
85,Critical,1.3599999999999999,0.704,0.744,999,999,high,Target Present,tone3
86,Normal,NaN,None,NaN,999,999,high,No Target,None
87,Normal,NaN,None,NaN,999,999,high,No Target,None
88,Normal,NaN,None,NaN,999,999,high,No Target,None
89,Normal,NaN,None,NaN,999,999,high,No Target,None
90,Normal,1.209,None,NaN,0,999,high,Target Present,None
91,Normal,NaN,None,NaN,999,999,high,No Target,None
92,Normal,NaN,None,NaN,999,999,high,No Target,None
93,Critical,NaN,0.354,1.1102236842105262,999,1,high,No Target,tone1
94,Normal,NaN,None,NaN,999,999,high,No Target,None
95,Normal,NaN,None,NaN,999,999,high,No Target,None
96,Normal,NaN,None,NaN,999,999,high,No Target,None
97,Critical,NaN,0.773,0.4859999999999999,999,1,high,No Target,tone3
98,Normal,NaN,None,NaN,999,999,high,No Target,None
99,Normal,NaN,None,NaN,999,999,high,No Target,None
100,Normal,1.5259999999999998,None,NaN,1,999,high,Target Absent,None
101,Normal,NaN,None,NaN,999,999,high,No Target,None
102,Normal,NaN,None,NaN,999,999,high,No Target,None
103,Normal,NaN,None,NaN,999,999,high,No Target,None
104,Normal,NaN,None,NaN,999,999,high,No Target,None
105,Normal,1.569,None,NaN,0,999,high,Target Absent,None
106,Normal,NaN,None,NaN,999,999,high,No Target,None
107,Normal,NaN,None,NaN,999,999,high,No Target,None
108,Critical,NaN,0.083,0.5870000000000001,999,1,high,No Target,tone4
109,Normal,NaN,None,NaN,999,999,high,No Target,None
110,Normal,NaN,None,NaN,999,999,high,No Target,None
111,Normal,NaN,None,NaN,999,999,high,No Target,None
112,Normal,NaN,None,NaN,999,999,high,No Target,None
113,Normal,NaN,None,NaN,999,999,high,No Target,None
114,Normal,NaN,None,NaN,999,999,high,No Target,None
