,Load,Trial_Type,Audio,RT_VS,Sound_Onset,Sound_Hz,RT_TO,Acc_VS,Acc_DT
187,low,No Target,Critical,NaN,0.658,tone3,0.8509999999999999,999,1
188,low,No Target,Normal,NaN,None,None,NaN,999,0
189,low,No Target,Normal,NaN,None,None,NaN,999,0
190,low,No Target,Critical,NaN,0.616,tone1,NaN,999,0
191,low,No Target,Normal,NaN,None,None,NaN,999,0
192,low,No Target,Critical,NaN,0.503,tone3,NaN,999,0
193,low,No Target,Normal,NaN,None,None,NaN,999,0
194,low,Target Present,Normal,0.667,None,None,NaN,1,0
195,low,No Target,Normal,NaN,None,None,NaN,999,0
196,low,Target Present,Normal,0.661,None,None,NaN,1,0
197,low,No Target,Normal,NaN,None,None,NaN,999,0
198,low,No Target,Normal,NaN,None,None,NaN,999,0
199,low,No Target,Normal,NaN,None,None,NaN,999,0
200,low,No Target,Critical,NaN,0.35,tone1,0.536,999,1
201,low,No Target,Normal,NaN,None,None,NaN,999,0
202,low,No Target,Normal,NaN,None,None,NaN,999,0
203,low,No Target,Normal,NaN,None,None,NaN,999,0
204,low,No Target,Normal,NaN,None,None,NaN,999,0
205,low,No Target,Normal,NaN,None,None,NaN,999,0
206,low,No Target,Normal,NaN,None,None,NaN,999,0
207,low,No Target,Normal,NaN,None,None,NaN,999,0
208,low,No Target,Normal,NaN,None,None,0.519,999,0
